code,name,group,city,state,region,stateCode
AR04027,Jayshree Distributor,DISTRIBUTO,Belagavi,Karnataka,Southern,KA
AR04029,POP Online Services Pvt Ltd,CORPORATE,Ahmedabad,Gujarat,Western,GJ
AR04030,Vee Pee Stationers,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04032,Imayam Electronics,DISTRIBUTO,Thanjavur,Tamil Nadu,Southern,TN
AR04033,Jalsa Fashion World,Other,Delhi,Delhi,Northern,DL
AR04035,Shree Vaamana Maruthi Communications,DISTRIBUTO,Rameswaram,Tamil Nadu,Southern,AP
AR04036,Shop And Savor,DISTRIBUTO,Darbhanga,Bihar,Eastern,BR
AR04037,Hello Pen Mart,CORPORATE,Bangalore,Karnataka,Southern,KA
AR04038,GSB Communication,DISTRIBUTO,Fatehabad,Haryana,Northern,HR
AR04039,Arkaylite Electricals(Prop. RNG Cables Pvt. Ltd),CORPORATE,DELHI,Delhi,Northern,DL
AR04040,A K ENTERPRISES,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04041,Social Resturants Private Limited,CORPORATE,Chennai,Tamil Nadu,Southern,TN
AR04042,Thakkar Auto Enterprises,DISTRIBUTO,Mumbai,Maharashtra,Western,MH
AR04043,New Tech Mobile,DISTRIBUTO,Jaipur,Rajasthan,Northern,OD
AR04044,Raka Infosys,DISTRIBUTO,Nashik,Maharashtra,Western,MH
AR04045,RSB Enterprises,DISTRIBUTO,Aurangabad,Maharashtra,Western,MH
AR04046,East Sun Electronics India LLP,Other,pune,Maharashtra,Western,MH
AR04047,Sanket Communication Pvt Ltd,CORPORATE,Delhi,Delhi,Northern,DL
AR04050,RB Enterprises,CORPORATE,Faridabad,Haryana,Northern,HR
AR04051,Denwo Enterprises,CORPORATE,Bangalore,Karnataka,Southern,KA
AR04052,Welmart Pharmaceuticals Pvt Ltd,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04053,Artelvin Pvt Ltd,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04028,SBI Life Insurance Company Limited,CORPORATE,Mumbai,Maharashtra,Western,MH
AR04048,Idea And Innovations,CORPORATE,Noida,Uttar Pradesh,Northern,UP
AR04054,Zeplin Media Pvt Ltd,Other,Mumbai,Maharashtra,Western,MH
AR04057,Vibrations,CORPORATE,Bangalore,Karnataka,Southern,KA
AR04055,Aditya Digitech Solutions,CORPORATE,Noida,Uttar Pradesh,Northern,UP
AR04056,Vivid Ventures,DISTRIBUTO,Pali,Rajasthan,Northern,RJ
AR04060,Makkar Emporium,DISTRIBUTO,Rupnagar,Punjab,Northern,PB
AR04058,Jagannath Enterprises,DISTRIBUTO,Cuttack,Odisha,Eastern,OD
AR04061,Saurabh Traders,DISTRIBUTO,PATHANKOT,Punjab,Northern,PB
AR04063,Upgrade,DISTRIBUTO,Kolkata,West Bengal,Eastern,WB
AR04065,Gigforce Pvt Ltd,CORPORATE,Ballabhgarh,Haryana,Northern,HR
AR04068,S.R. Brothers,CORPORATE,Mumbai,Maharashtra,Western,MH
AR01893,PINE DIGITAL,CORPORATE,Delhi,Delhi,Northern,DL
AR04073,AJA International,CORPORATE,Delhi,Delhi,Northern,DL
AR04071,Balaji Communication,DISTRIBUTO,Jalpaiguri,West Bengal,Eastern,WB
AR04075,Jindal Designs,CORPORATE,Delhi,Delhi,Northern,DL
AR04076,Inkling Marketing Pvt Ltd,CORPORATE,Jaipur,Rajasthan,Northern,RJ
AR04067,Span Group,DISTRIBUTO,Cooch Behar,West Bengal,Eastern,WB
AR04078,Aequs Consumer Products Private Limited,CORPORATE,Bangalore,Karnataka,Southern,KA
AR04080,Aequs Toys Pvt Ltd,CORPORATE,Koppal,Karnataka,Southern,KA
AR04081,MG International,CORPORATE,Chennai,Tamil Nadu,Southern,TN
AR04082,Jalan Enterprises,CORPORATE,Noida,Uttar Pradesh,Northern,UP
AR04079,Bala Ji Enterprises,DISTRIBUTO,Kurukshetra,Haryana,Northern,HR
AR04066,R.K. Enterprises,DISTRIBUTO,Jaipur,Rajasthan,Northern,RJ
AR04070,Grace Gallery,DISTRIBUTO,Nahan,Himachal Pradesh,Northern,HP
AR04083,Susuma Mobile Repairing Center,DISTRIBUTO,Kokrajhar,Assam,Northeastern,AS
AR04084,Brandworks Technologies Pvt Ltd,Other,Mumbai,Maharashtra,Western,MH
AR04085,Ritz Metal Works,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04077,Cover IT UP Studios Pvt Ltd,CORPORATE,Chennai,Tamil Nadu,Southern,TN
AR04074,Matyaj,CORPORATE,FARIDABAD,Haryana,Northern,HR
AR04086,Apex Hospitality Services,CORPORATE,Ahmedabad,Gujarat,Western,GJ
AR04090,Matrix Pharma Chem India Pvt Ltd,CORPORATE,Hyderabad,Telangana,Southern,TS
AR04089,Ink Krafts,CORPORATE,Mumbai,Maharashtra,Western,MH
AR04088,Thakkar Auto Agency,DISTRIBUTO,Pune,Maharashtra,Western,MH
AR04091,Prompt Infotech,DISTRIBUTO,Mangalore,Karnataka,Southern,KA
AR04100,Paws & Feet,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04092,Grape Worldwide Solutions Pvt Ltd,CORPORATE,Delhi,Delhi,Northern,DL
AR04094,Our Vision Services,Other,Delhi,Delhi,Northern,DL
AR04093,Gifting Gimmicks Co,CORPORATE,Noida,Uttar Pradesh,Northern,UP
AR04097,Acidaes Solutions Pvt Ltd,CORPORATE,Noida,Uttar Pradesh,Northern,UP
AR04087,Tanmay International,CORPORATE,Delhi,Delhi,Northern,DL
AR03370,West View Commerical Printer,CORPORATE,Mumbai,Maharashtra,Western,MH
AR04102,Nephrocare Health Services Private Limited,CORPORATE,Hyderabad,Telangana,Southern,TS
AR04101,Aspire,DISTRIBUTO,Guwahati,Assam,Northeastern,AS
AR04096,Protik Shop,DISTRIBUTO,Dhubri,Assam,Northeastern,AS
AR00636,ADI ENTERPRISE,CORPORATE,Pune,Maharashtra,Western,MH
AR04049,HBL Power Systems Limited,CORPORATE,Hyderabad,Telangana,Southern,TS
AR00804,Corporate Bounteez,CORPORATE,Hyderabad,Telangana,Southern,TS
AR04099,Paagalpantee Corporate World,CORPORATE,Mumbai,Maharashtra,Western,MH
AR04104,Ekmatra Technology Pvt Ltd,CORPORATE,Mumbai,Maharashtra,Western,MH
AR04106,NW Star,DISTRIBUTO,Doda,Jammu and Kashmir,Northern,JK
AR04107,Smart Hub,DISTRIBUTO,Agra,Uttar Pradesh,Northern,UP
AR04108,Pankaj Traders,CORPORATE,Gadarwara,Madhya Pradesh,Central,MP
AR04109,Valgenesis India Pvt Ltd,CORPORATE,Chennai,Tamil Nadu,Southern,TN
AR04110,Absolute Event Management Co,CORPORATE,Noida,Uttar Pradesh,Northern,UP
AR04111,Kushal Marketing And Distribution,DISTRIBUTO,Nashik,Maharashtra,Western,MH
AR04112,Ansh Technology,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04113,Garg Traders,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04114,Kitchen Stadium Inc,CORPORATE,Delhi,Delhi,Northern,DL
AR04115,Vimal Shopee,DISTRIBUTO,Ahmednagar,Maharashtra,Western,MH
AR04116,Siemens Limited,CORPORATE,Gurgaon,Haryana,Northern,HR
AR04117,Pan Macmillan Publishing India Pvt Ltd,CORPORATE,Delhi,Delhi,Northern,DL
AR04118,Bharat Trading Co.,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04119,Priyanka Jha,DISTRIBUTO,Balurghat,West Bengal,Eastern,WB
AR04120,Extracle Infosys,Other,Ghaziabad,Uttar Pradesh,Northern,UP
